S.No,Course Code,Course Name,Course Category,Course Type,Credits,Lectures,Tutorial,Practical,Course Coordinators/Instructors
95,EFD008U2M,Fundamentals of Engineering Materials,Institute Core,THEORY,3,3,1,0,Course Coordinator: Shantanu Vijay Madge (IITJMU11060)
,,,,,,,,,Instructor:Srinivasan N (IITJMU11100)
96,EFD011U3M,Control Engineering,Institute Core,THEORY,3,3,1,0,Course Coordinator: Pallippattu Krishnan Vijayan (IITJMU20023)
,,,,,,,,,"Instructor:Ankit Dubey (IITJMU11034), Instructor:Saurabh Biswas (IITJMU11057)"
97,EFP007U2M,Mechanics of Solids Lab,Departmental Core,PRACTICAL,1,0,0,2,Course Coordinator: Roshan Udaram Patil (IITJMU11072)
98,EFP011U3M,Control Engineering Laboratory,Institute Core,PRACTICAL,1,0,0,2,Course Coordinator: Pallippattu Krishnan Vijayan (IITJMU20023)
,,,,,,,,,"Instructor:Ankit Tyagi (IITJMU11076), Instructor:Suresh Roland Devasahayam (IITJMU11093), Instructor:Sahil Kalra (IITJMU11048)"
99,ESP001U1M,Environment & Sustainability - I,Institute Core,THEORY / PRACTICAL,1,0,0,2,Course Coordinator: Pratik Kumar (IITJMU11092)
100,EVL100,Environmental Sciences,Institute Core,THEORY,2,2,0,0,Course Coordinator: Pratik Kumar (IITJMU11092)
101,HSC026U3E,Basic Econometrics,Institute Core,THEORY,3,2,0,2,Course Coordinator: Bhaskar Jyoti Neog (IITJMU11086)
102,HSL049U2M,Intermediate Microeconomics,Open Category,THEORY,1.5,1.5,0.5,0,Course Coordinator: Bhaskar Jyoti Neog (IITJMU11086)
103,HSL051U2M,Introduction to Game Theory,Open Category,THEORY,1.5,1.5,0.5,0,Course Coordinator: Bhaskar Jyoti Neog (IITJMU11086)
104,HSL065U3E,Social and Literary Understandings of Power and Powerlessness Hazard and Safety in Process Industries,Open Category,THEORY,3,3,0,0,Course Coordinator: Sukanya Mondal (IITJMU11050)
,,,,,,,,,Instructor:Sayantan Mandal (IITJMU11056)
105,HSL068U3E,"Science, Ethics and Society",Institute Core,THEORY,3,3,0,0,Course Coordinator: Joby Varghese (IITJMU11052)
,,,,,,,,,Instructor:Sayantan Mandal (IITJMU11056)
106,MAD010P6E,Representation Theory,Departmental Elective,THEORY,3,3,1,0,Course Coordinator: Rahul Dattatraya Kitture (IITJMU11073)
107,MAD017U3E,Modern Algebra,Departmental Elective,THEORY,3,3,1,0,Course Coordinator: Arvind Kumar (IITJMU11102)
108,MAL026P6G,Introduction to Geometry and Geometric Analysis,Departmental Elective,THEORY,3,3,1,0,Course Coordinator: Manmohan Vashisth (IITJMU11074)
109,MEC001P1M,Numerical Methods In Engineering,Departmental Core,THEORY / PRACTICAL,3,2,0,2,Course Coordinator: Pothukuchi Harish (IITJMU11087)
110,MEC002P5G,Composite Materials and Design,Departmental Elective,THEORY / PRACTICAL,3,2,0,2,Course Coordinator: Durai Prabhakaran R T (IITJMU11035)
111,MEC035U3E,Numerical Methods,Departmental Elective,THEORY / PRACTICAL,3,2,0,2,Course Coordinator: Goutam Dutta (IITJMU11033)
112,MED002U2M,Fluid Mechanics,Departmental Core,THEORY,3,3,1,0,Course Coordinator: Shanmugadas K P (IITJMU11091)
,,,,,,,,,Instructor:Navneet Kumar (IITJMU11084)
113,MEL001U2M,MANUFACTURING PROCESS-I,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Shiva S (IITJMU11027)
,,,,,,,,,Instructor:Rajkumar V (IITJMU11090)
114,MEL002P1M,ADVANCED ENERGY & MOMENTUM TRANSFER,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Samrat Rao (IITJMU11013)
115,MEL003P1M,ADVANCED HEAT & MASS TRANSFER,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Goutam Dutta (IITJMU11033)
116,MEL005P5E,Additive Manufacturing,Departmental Elective,THEORY,2,2,0,0,Course Coordinator: Anand Kumar Subramaniyan (IITJMU11015)
,,,,,,,,,Instructor:Rajkumar V (IITJMU11090)
117,MEL014U3M,Machine Design,Departmental Core,PRACTICAL,2.5,2.5,0,0,Course Coordinator: Roshan Udaram Patil (IITJMU11072)
118,MEL016U3M,Manufacturing Processes II,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Rakesh Singhai (IITJMU20031)
119,MEL021P5G,Fracture Mechanics,Departmental Elective,THEORY,3,3,0,0,Course Coordinator: Roshan Udaram Patil (IITJMU11072)
120,MEL040P6G,Compressible Fluid Flows,Departmental Elective,THEORY,3,3,0,0,Course Coordinator: Shanmugadas K P (IITJMU11091)
121,MEL042U3E,Introduction to Bioinspired Engineering,Open Category,THEORY,2,2,0,0,Course Coordinator: Anand Kumar Subramaniyan (IITJMU11015)
,,,,,,,,,Instructor:Uma Shankar (IITJMU91007)
122,MEL047P6G,Refrigeration and Air-Conditioning,Departmental Elective,THEORY,3,3,0,0,Course Coordinator: Satya Sekhar Bhogilla (IITJMU11053)
123,MEL101P5G,PHYSICS OF NUCLEAR REACTORS,Open Category,THEORY,3,3,0,0,Course Coordinator: Kannan Iyer (IITJMU20027)
124,MEP004U2M,Kinematics and Dynamics of Machines Lab,Departmental Core,PRACTICAL,1,0,0,2,Course Coordinator: Sahil Kalra (IITJMU11048)
,,,,,,,,,Instructor:Saurabh Biswas (IITJMU11057)
125,MEP005P5E,Additive Manufacturing Laboratory,Departmental Core,PRACTICAL,1,0,0,2,Course Coordinator: Anand Kumar Subramaniyan (IITJMU11015)
,,,,,,,,,Instructor:Rajkumar V (IITJMU11090)
126,MEP014P1M,Energy Laboratory,Departmental Core,PRACTICAL,1.5,0,0,3,Course Coordinator: Satya Sekhar Bhogilla (IITJMU11053)
127,MEP034U3M,Thermal Energy and Systems Lab,Departmental Core,PRACTICAL,1.5,0,0,3,Course Coordinator: Kannan Iyer (IITJMU20027)
,,,,,,,,,Instructor:Pothukuchi Harish (IITJMU11087)
128,MEY401U3M,BTP-I,Departmental Core,PRACTICAL,3,0,0,6,Course Coordinator: Vijay Kumar Pal (IITJMU11029)
129,MTD001U2M,Thermodynamics of Materials,Departmental Core,THEORY,3,3,1,0,Course Coordinator: Suman Sarkar (IITJMU11096)
,,,,,,,,,Instructor:Srishilan C (IITJMU11075)
130,MTD004U3M,Fundamentals of Metal Extraction,Departmental Core,THEORY,3,3,1,0,Course Coordinator: Srishilan C (IITJMU11075)
131,MTL005U3M,Mechanical Behaviour of Materials,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Maya Kini K (IITJMU11098)
132,MTL006U3M,Engineering Fundamentals of Polymers,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Rani Rohini (IITJMU11077)
133,MTL009U3E,"Electron Microscopy, Microstructural Dynamics and Design",Departmental Elective,THEORY,3,3,0,0,Course Coordinator: Suman Sarkar (IITJMU11096)
134,MTL018U4E,Advanced Mechanical Behaviour of Materials,Departmental Elective,THEORY,3,3,0,0,Course Coordinator: Maya Kini K (IITJMU11098)
135,MTL021P6E,Emerging Technologies in Materials Processing,Departmental Elective,THEORY,3,3,0,0,Course Coordinator: Srinivasan N (IITJMU11100)
136,MTP002U3M,Materials Processing Laboratory - I,Departmental Practical,PRACTICAL,1,0,0,2,Course Coordinator: Srinivasan N (IITJMU11100)
,,,,,,,,,Instructor:Srishilan C (IITJMU11075)
137,MTP005U4M,Advanced Materials Laboratory,Departmental Practical,PRACTICAL,2,0,0,4,Course Coordinator: Suman Sarkar (IITJMU11096)
,,,,,,,,,"Instructor:Shantanu Vijay Madge (IITJMU11060), Instructor:Maya Kini K (IITJMU11098)"
138,MTT300U4X,Internship,Credit Earning Course,TRAINING / SEMINAR,1,0,0,2,Course Coordinator: Shantanu Vijay Madge (IITJMU11060)
139,MTY401U3M,BTP-I,Departmental Core,PROJECT,3,0,0,6,Course Coordinator: Rani Rohini (IITJMU11077)
140,PHC019P1M,Introduction to Computer Programming and Data Analysis,Departmental Core,THEORY / PRACTICAL,3,2,0,2,Course Coordinator: Sanat Kumar Tiwari (IITJMU11011)
141,PHL012P6G,Non Equilibrium Statistical Mechanics with Interdisc Apps,Open Category,THEORY,3,3,0,0,Course Coordinator: Ajeet Kumar Sharma (IITJMU11036)
142,PHL015P1M,Electromagnetic Theory,Departmental Core,THEORY,3,3,0,0,
143,PHL016P1M,Mathematical Physics,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Ajeet Kumar Sharma (IITJMU11036)
144,PHL017P1M,Classical Mechanics,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Venkata Sathish Akella (IITJMU11063)
145,PHL018P1M,Quantum Mechanics,Departmental Core,THEORY,3,3,0,0,Course Coordinator: Rahul Raghunath Salunkhe (IITJMU11006)
146,PHS014P1M,History of Science,Credit Earning Course,THEORY / PRACTICAL,1,0,0,2,Course Coordinator: Ajeet Kumar Sharma (IITJMU11036)
147,SBL001U3M,Biology for Engineers,Institute Core,THEORY,3,3,0,0,Course Coordinator: Gaurav Ashok Bhaduri (IITJMU11042)
148,SBP001U3M,Biology for Engineers Lab,Institute Core,PRACTICAL,1.5,0,0,3,Course Coordinator: Gaurav Ashok Bhaduri (IITJMU11042)
,,,,,,,,,"Instructor:Anju Chadha (IITJMU40007), Instructor:Vinay Sharma (IITJMU11101)"
149,SMD001U1M,Calculus,Institute Core,THEORY,3,3,1,0,Course Coordinator: Ajay Kumar (IITJMU11038)
150,SPA001U2M,Introduction to Physics,Institute Core,THEORY,3,3,0,0,Course Coordinator: Ashok Bera (IITJMU11003)
,,,,,,,,,Instructor:Biswanath Chakraborty (IITJMU11066)
151,SPP001U2M,Physics Laboratory,Institute Core,PRACTICAL,2,0,0,4,Course Coordinator: Biswanath Chakraborty (IITJMU11066)
,,,,,,,,,Instructor:Ashok Bera (IITJMU11003)
